AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,AM
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-9031,Sales Engineers,detailed,"2,580",13.8,"139,250",2.6,"75,200","98,670",139.25
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-9041,Telemarketers,detailed,"1,350",15.2,"42,320",3.2,"28,970","31,990",42.32
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,140,42.6,"38,530",5.9,"31,890","31,910",38.53
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,41-9099,"Sales and Related Workers, All Other",detailed,"6,660",4.5,"71,490",3.8,"34,510","47,430",71.49
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,"1,183,810",0.5,"54,120",0.2,"32,200","38,450",54.12
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,"86,810",2.7,"79,710",0.4,"48,510","60,670",79.71
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-2011,"Switchboard Operators, Including Answering Service",detailed,"3,760",6.7,"41,370",1.3,"30,490","31,260",41.37
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-2021,Telephone Operators,detailed,350,21,"54,380",4.4,"36,600","46,950",54.38
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-2099,"Communications Equipment Operators, All Other",detailed,50,19.6,"55,420",4.9,"46,180","46,590",55.42
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-3011,Bill and Account Collectors,detailed,"7,900",5,"52,380",1.2,"37,420","42,000",52.38
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-3021,Billing and Posting Clerks,detailed,"35,880",3.2,"50,530",0.9,"32,200","39,710",50.53
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,"94,880",2.8,"54,990",0.5,"35,440","42,680",54.99
